society_name,square_footage,bedrooms,bathrooms,age_of_house,lot_size,garage_size,has_pool,school_district_rating,distance_to_city_center,nearby_amenities,price
Mountain Ridge,3808.464322482343,5,3,50,3283.7009141698118,1,0,10,18.872431702270195,10,679910.9689028511
River View,3088.089390024919,3,1,84,2563.935565145157,1,0,4,2.3009561712037936,8,461083.1787948399
Pinewood Estates,2710.1835102680952,1,2,45,3485.173639209944,3,0,1,19.05386272340617,10,350126.20638689323
Sunset Heights,1291.5294813123055,3,4,20,7313.755079911746,3,1,8,9.958613962469215,10,457882.61060497334
Sunset Heights,2845.0216800975095,3,3,43,9053.524894748065,0,0,9,11.693029508654533,2,474496.0135851432
Pinewood Estates,3970.16155031279,2,1,10,8513.005484729296,3,1,4,23.322211130609524,9,624545.1434263501
Maple Grove,1420.252045709572,2,4,67,7481.074478995873,3,0,10,24.51712058750571,3,303974.5333707036
Sunset Heights,2554.98895709121,2,4,0,2883.4549072888212,3,0,3,12.610342178355088,8,399269.1828852936
Pinewood Estates,3632.1192157838664,2,2,91,4313.499570367599,1,0,2,28.46743514418429,8,343840.1771336058
Sunset Heights,3222.3058532626133,5,4,62,4478.455002579752,2,1,5,12.787418820610094,3,547386.1592042013
Maple Grove,3091.0472229858037,4,2,23,3999.6555711809697,0,1,3,23.383245021673186,3,464116.0530311427
River View,3107.452251961328,1,3,98,6120.045277677785,2,0,10,15.032440672363514,6,399048.4592222689
Maple Grove,2078.4734536592655,3,2,12,6284.430519037381,2,1,7,27.028437469140435,1,317276.786476752
Mountain Ridge,1880.7755327934801,5,1,97,4855.087801368882,3,0,6,27.325076065855182,4,398024.0583927122
Pinewood Estates,3428.0834664355407,1,2,10,4830.313269891489,0,0,1,3.535087428261432,1,354515.7805799823
Maple Grove,3430.3401840375423,5,1,99,8628.444783248651,2,0,8,28.158306607996547,3,408415.1420410604
River View,3601.2169557403113,5,2,50,8314.342786557485,2,1,2,24.940510404092056,9,628315.3310174559
Sunset Heights,3739.721657669414,3,4,16,4462.366653445965,0,0,5,23.94801071506734,5,587663.8736671574
Pinewood Estates,2534.0271965828133,4,3,98,9310.307550986076,3,0,9,6.82642885088015,5,584354.6544573766
Maple Grove,2504.548884061599,2,1,81,9622.520136020048,2,0,8,24.348457053885284,4,345309.7310507523
River View,3394.8855369003254,4,2,85,4613.940336240326,1,1,2,25.653849305866068,3,582595.1290817295
Maple Grove,2949.8917923332956,3,2,23,4835.399590344439,2,0,9,9.385359699170378,5,419082.7071667296
Mountain Ridge,3105.90063177311,3,2,18,6045.073227375671,1,1,5,28.615542272507387,4,588554.9563108213
Pinewood Estates,3387.3780083083034,3,4,36,9528.966500269387,3,0,10,2.445944245575763,8,524677.4831119583
Sunset Heights,3670.016025452699,1,4,84,9010.555465138492,2,1,6,5.34736834416705,4,536917.0142555793
River View,2013.9854705546074,4,1,7,2820.5437006687184,0,0,3,16.589853003493914,8,381315.57576754544
Maple Grove,2126.748857919832,4,1,27,5141.84594617133,0,0,3,17.69798166254698,6,262546.44087132637
Pinewood Estates,1281.945819522607,5,4,4,6426.9695179981745,2,1,10,19.709352415726197,5,416708.7664281413
Maple Grove,2734.840422988522,5,1,16,6025.059780412321,3,1,8,1.4921047501485272,4,522408.71829015587
Pinewood Estates,1107.8268213902263,5,3,100,3550.9045434951413,3,0,10,28.850636464041777,4,303280.5397571514
Mountain Ridge,2396.7940543973805,3,3,35,8870.534169345237,0,1,10,2.2930546892901758,4,535446.5457286604
Maple Grove,2627.93390412273,4,4,18,7415.526263974699,2,0,2,5.148796628978669,9,552820.1557215012
Mountain Ridge,1859.623756384853,3,1,63,8703.26699881443,3,0,2,1.4064210082556525,4,327236.989810036
River View,2772.4997817070325,1,2,90,8870.114234795778,0,0,5,17.438894565528745,9,184929.99352769487
Mountain Ridge,1091.5007498171483,5,3,97,7986.846829325918,1,1,6,28.035739633708197,10,380513.7253220926
Pinewood Estates,1112.0445662476432,3,4,10,5513.684809997739,2,0,2,20.312467816333463,6,368183.0284030059
River View,3467.8016819789746,3,1,53,6884.374040123396,1,1,5,24.857066585932394,10,426941.9214435468
Maple Grove,2080.5719242337886,1,4,44,3282.9232489579454,1,0,7,1.3851549002988224,7,372594.8492864467
Maple Grove,1381.1815379556542,2,2,46,7389.163339799262,3,1,10,16.718443655912054,10,372809.5086683035
Pinewood Estates,2566.729780164413,4,3,11,3434.026045914246,3,1,10,14.327326347660135,3,601435.2183954885
Sunset Heights,3309.9806592958325,2,4,20,7551.596724081254,3,0,8,15.470070382402998,8,523329.8215973199
Sunset Heights,1647.4630824905294,5,4,10,3836.7852860317494,2,1,7,3.09418237472045,3,472557.2825025785
Maple Grove,2868.671427457001,3,4,91,2940.4104012017597,1,0,8,20.848625471009917,1,400433.1089605025
Pinewood Estates,1256.042394981304,1,2,4,3322.2759211436596,2,0,9,15.593392030900398,10,336303.7632594275
Sunset Heights,1155.045163505823,1,4,80,2015.937081752562,3,0,5,23.189316645976653,5,301721.342583613
Mountain Ridge,2594.063894704444,4,2,55,7749.916942828242,1,0,5,15.073428387789745,2,407242.25097480987
Maple Grove,2621.9053648303197,2,2,19,7859.208392467033,2,0,10,5.33206745056653,10,504587.0696198067
Mountain Ridge,2912.2897044946194,4,2,40,6119.466799306076,2,1,4,19.79945166825684,6,408419.4001302016
Pinewood Estates,3178.274001167985,3,3,45,3290.9024084430694,0,0,9,5.999204501049821,10,547569.8819010637
Mountain Ridge,3927.556238387604,4,3,11,2668.4347000855178,2,1,5,26.299442337289634,9,614252.117963506
Sunset Heights,2548.901044903586,1,4,69,2153.0317314982963,3,1,2,18.780370933008005,1,518611.1936904353
Sunset Heights,1968.8694188237378,1,4,16,3325.9854157217655,2,0,10,5.558912623151674,4,325222.07812255353
River View,3385.558584306111,5,3,18,9126.844279865174,1,1,8,28.907803666954997,1,538927.5116909919
Maple Grove,1812.4967537862226,5,1,25,3932.294733613454,2,0,7,16.0325984367243,1,392592.1239584552
Pinewood Estates,2316.9142621169085,3,3,47,4834.1706177377255,0,1,8,3.114055104277995,8,498877.8568657342
Maple Grove,1235.3691440267978,2,2,51,2842.7638758506655,1,1,3,19.17815422803695,2,230932.55478341677
Mountain Ridge,1076.0522302463726,4,3,95,3778.890437985362,1,1,4,8.342768303371496,1,336745.66622664285
Pinewood Estates,3887.945244033775,3,2,69,6153.796566241641,0,0,5,24.307110104441772,8,516680.0542741666
Pinewood Estates,3507.9403615366173,5,4,54,6862.02146476522,3,1,6,24.716840133419527,4,681388.4929826774
Sunset Heights,3087.922618281094,4,1,99,3962.8185133296884,1,0,1,29.389473319785193,3,362078.1330132851
Mountain Ridge,2226.85883324281,5,4,74,2461.8572738009375,3,1,4,15.554216399710608,4,564330.3731839046
Sunset Heights,1519.8829602125375,4,2,32,5128.26295301919,1,1,10,14.193749512104377,5,453944.96983847354
Sunset Heights,1469.3111280132582,2,2,61,3873.6269674106734,1,1,5,22.850792557947937,1,200229.8291179708
River View,1750.728694493786,3,2,87,3756.4313858384157,3,1,7,4.84164903391587,1,342637.8558816242
Sunset Heights,2647.6799941183617,4,1,22,9678.902421707642,1,0,5,16.8605499000006,3,408345.4617142055
Maple Grove,3143.787768100187,1,3,14,6930.403887405792,3,0,1,16.841180403794677,6,418271.2947465088
Pinewood Estates,2980.5921301531935,1,4,26,6455.027545376767,0,1,7,3.594720561501229,1,380990.59069002926
Sunset Heights,1839.8016908378286,4,4,74,5326.200828186576,3,1,8,13.121538479700494,2,524458.481084117
Maple Grove,3864.5958419895824,4,3,63,5431.554667441154,0,0,7,25.745259158448857,7,430115.96351423615
Mountain Ridge,3213.6907500873053,4,4,80,6327.240030704646,1,0,4,25.82845503784515,1,459858.47806296434
Pinewood Estates,2663.062157534202,1,1,50,7571.438456288858,3,0,8,3.877892282670749,7,431011.93486727006
Mountain Ridge,2835.1622387030566,1,4,52,7617.168769454635,1,0,5,3.630905599687095,4,440112.83589992597
Maple Grove,2258.8001872833697,4,2,77,3373.5512616435963,3,1,10,8.618168833056124,10,491455.92301560583
Mountain Ridge,1743.1929685034725,5,3,90,6000.902016613016,0,1,9,26.36821581406581,6,336911.0667987903
Mountain Ridge,2067.918035953785,5,1,81,5295.664760272815,0,0,10,4.738174967131469,8,400067.97727056703
Mountain Ridge,3273.5383313931075,2,3,91,8964.215730155072,3,0,5,21.87990727619594,9,435467.13980960625
Sunset Heights,1043.1804658892677,3,1,50,7051.351369747011,0,0,1,3.933802968779993,6,232157.34024122928
Sunset Heights,1348.2179215207486,5,2,46,6260.0325313278545,1,0,9,19.070997758686936,9,355977.6855527044
Sunset Heights,1138.0079260652583,1,3,3,2923.157137431339,1,0,5,11.3259516744552,4,247785.1661378585
Pinewood Estates,1122.1864069569103,5,4,6,6845.103114587291,2,0,6,23.878504926010145,6,356814.7135076174
Maple Grove,3566.3817520330217,2,1,34,2937.6312454418676,0,1,4,7.777023015935544,8,605422.1108872589
Sunset Heights,3110.973578140071,2,3,47,4697.652604526016,1,1,6,19.536853052308835,9,523373.51392381336
Mountain Ridge,2422.5214872619754,3,4,72,3142.7357185146548,3,1,8,7.834793502700664,3,500275.6626535168
Mountain Ridge,1293.5024819530045,5,3,71,7536.5891761949515,0,0,3,21.69614821025246,2,303178.7982631248
Mountain Ridge,2474.847625350497,1,3,44,3650.016910689221,1,0,5,26.336663002261716,6,294818.3577164486
Mountain Ridge,2420.4153123416972,1,3,80,5134.874985504208,0,0,2,4.677252174676041,4,301398.77695802314
River View,1519.6056097300457,4,1,80,9165.398220950228,3,1,2,26.1312749692696,1,443127.0872846312
Pinewood Estates,2301.5549477139193,1,4,96,3634.5310671917623,1,0,7,18.21368237801464,8,305085.99590668565
Maple Grove,2195.5142031921205,3,2,95,6062.440511670233,2,0,10,4.686204235143695,9,395002.8649380378
Maple Grove,2847.550294156649,3,1,71,5354.173289328176,2,1,10,13.398713805431647,9,460723.19397517893
Sunset Heights,2905.2809526029314,1,1,18,2144.9923283658377,0,0,10,5.664948511067839,2,293645.49956259166
River View,1135.9120293161336,1,1,62,8342.064908582503,3,1,6,21.310088777130517,9,278693.68787005916
Maple Grove,2123.8378438794134,4,2,37,2552.367250516798,1,1,4,23.00717589812054,7,429203.51487451413
Pinewood Estates,2877.579747142709,1,4,66,5794.040167815629,3,0,5,4.06809908791117,5,513331.9500220081
Mountain Ridge,2509.408775740263,4,4,58,6485.4263595116,1,1,1,15.678055728144686,7,558410.7474061395
Sunset Heights,3569.469523564967,4,4,68,7027.411652916697,0,0,7,24.624126624751597,9,592139.5673896767
Pinewood Estates,2976.080894856835,1,3,12,7509.053034463004,1,1,8,28.148728204978898,8,413902.27504006866
Maple Grove,1488.803281244289,2,3,46,4026.1790681817206,3,0,9,15.89201813551133,6,360949.56762719736
River View,1211.7062422012896,2,3,60,2079.830213267595,3,1,8,28.558097484730805,4,340733.9706078256
Sunset Heights,2927.2578346189466,4,2,30,7787.549298839296,0,0,5,16.534980143224864,1,375160.18312487
Maple Grove,1079.5339316248655,1,3,79,6285.252794780628,3,1,3,12.431524343397331,6,276916.58292328607
Sunset Heights,2757.32674382039,2,2,95,8688.94162565799,1,1,10,25.59789072803397,3,310969.07642715424
Maple Grove,3820.690724274873,1,4,21,8571.106903205553,0,1,9,15.296498603284583,6,595171.4282205735
Mountain Ridge,2726.4225336276368,1,3,92,8746.609342303065,1,0,6,14.685172806371169,6,393272.3530906806
River View,2164.5097786195656,1,3,85,5880.757279836322,3,0,5,15.219062192885021,4,406207.1448880716
Mountain Ridge,2929.8646553270596,5,1,42,4669.027166694925,0,1,3,25.556765054222616,2,448366.8154668824
Maple Grove,2374.75867147455,1,2,66,8332.46562073096,1,0,6,25.126304708953512,9,329463.23018188396
Pinewood Estates,2636.850367947805,5,4,53,5610.35290423404,3,1,3,12.702079780766125,2,635289.7028653605
Mountain Ridge,3824.3944263295757,4,1,9,3467.5375712274763,3,0,10,10.665695936245225,3,549606.9818469782
Pinewood Estates,2158.307913402323,2,1,41,8839.792156491796,2,1,6,15.265912697134748,10,352268.6673113762
Maple Grove,3883.5716914717427,2,4,63,9060.479014178778,3,0,4,17.610402782376163,1,516304.1993314496
River View,3716.051925868191,2,1,20,5730.4780491213605,1,1,2,7.9117791082119115,7,521462.9565699586
Pinewood Estates,1587.3734043678892,2,2,79,2605.5978184783,0,1,8,24.02469745675213,1,201181.3473046727
Maple Grove,1208.0839026254964,2,2,75,5102.60871933545,2,1,4,15.108000206240263,9,269121.52609587496
Pinewood Estates,1302.33400413228,2,3,65,8428.301275700827,3,1,9,10.687320904178828,1,381090.1773116727
Mountain Ridge,1054.6654769546492,2,1,40,9214.19222836983,3,0,7,4.097808795955728,5,251296.4369745128
Maple Grove,1283.328882267785,4,3,23,3627.7819399807668,3,1,2,7.926509651704601,7,459040.3439943372
Mountain Ridge,3049.0203202490707,1,1,34,2535.788896202172,1,0,4,28.529153980923528,3,297815.04243637173
Sunset Heights,1213.565945380687,3,2,55,9018.803625062708,2,0,5,9.847890917766271,9,275146.30196843174
Maple Grove,1956.926890881284,5,2,29,5115.239511831002,1,1,3,5.896919391644024,8,497699.69268422644
Pinewood Estates,3534.6259329083637,3,2,56,6334.087714140506,2,0,9,14.359510957994802,3,508313.50531784515
Sunset Heights,1069.8158072074775,3,1,93,9744.526496406072,0,0,5,9.905544557447213,5,226518.730820538
Mountain Ridge,3443.4054477668074,1,2,46,2532.517823313783,1,0,2,2.0196182578646305,7,519887.4617258139
Mountain Ridge,1845.5643243201998,1,1,34,7186.544059616765,1,1,3,10.3712113011031,4,261680.70842791692
Pinewood Estates,1354.4944828649686,1,3,18,2592.8433805989366,0,0,9,16.77915009424459,5,275468.94366231654
Sunset Heights,3090.211496092452,2,1,7,5003.751427732002,2,0,7,16.99965878857904,3,365532.27393297537
River View,2886.828540339652,4,3,25,8430.516361547574,3,1,2,11.340208714129773,9,710877.4740181793
Pinewood Estates,3632.416040581159,2,1,70,5467.777862045075,0,1,9,13.971779931325418,10,456076.39711095765
Mountain Ridge,3205.2131314116573,4,3,29,9977.458831223603,3,0,4,29.000019628808225,9,588548.2941376319
Maple Grove,3410.442791154546,4,2,6,6472.474279572817,3,1,9,11.943105839679037,7,585090.5453547778
Sunset Heights,1846.1037177139194,3,3,66,4569.297221087628,0,0,2,8.488577584539506,10,344942.5317391905
River View,1532.3186313391684,3,2,64,3760.890607238025,2,0,10,8.060544277936042,2,383149.60980716813
Maple Grove,3251.844254922575,4,2,35,4804.164274289295,3,0,4,14.27517376841989,7,508209.70321097196
Sunset Heights,3420.504217801792,4,3,24,4980.266190076407,0,1,5,23.02608431279138,7,680203.6147869229
Pinewood Estates,3971.51542600202,2,1,36,2549.709421791688,1,0,2,6.973657341465723,5,497450.38994617655
Pinewood Estates,2237.8530307342794,2,1,0,4956.593595414186,1,1,10,21.569587687082272,9,440423.0733174795
Sunset Heights,2116.0542573783496,3,4,14,5713.908157913799,1,1,1,1.6133448771330723,3,498668.74629033176
River View,3329.2388822259904,1,1,36,7781.902017910437,0,0,7,13.149056361534434,4,395034.1591829306
Sunset Heights,2022.4106207590535,4,4,12,7253.835877772864,1,1,10,23.50008689088082,1,384385.9696125431
Maple Grove,3792.271976810694,2,1,7,7670.125241833234,3,1,1,10.823255717458512,6,557972.0716456167
Maple Grove,3575.2382555290355,3,1,4,2066.9094550148566,1,1,8,17.348375941916583,4,594039.2786842587
Pinewood Estates,2286.982082125055,2,2,59,3741.3391966442887,1,1,3,6.9443977519514135,1,356841.62045943167
Sunset Heights,3252.613203374492,4,4,72,7293.474307198852,3,1,10,22.517866342658998,2,602625.8866494617
Pinewood Estates,3263.628622254047,4,1,0,5871.914945437977,1,0,6,2.516093994794029,3,431133.9508064467
River View,1309.3716065077979,5,4,35,2042.5078053467676,3,1,7,25.72373670138951,9,447519.34175903286
Maple Grove,3707.6587200387,1,2,34,8435.957139454578,1,0,10,6.747695206228376,8,548109.6379008774
Mountain Ridge,2515.7571173435717,5,2,65,8182.476586322699,3,0,1,26.35754291954159,7,399865.6496161915
Mountain Ridge,3479.372398323225,3,4,62,6387.353303948501,1,0,6,11.223347997715003,4,567621.9663474904
Sunset Heights,1960.1488030918354,2,2,22,2531.7066062101767,3,0,7,21.957823659760113,1,332494.4812401546
Sunset Heights,3686.5696854886014,3,3,8,8132.120396260677,0,0,6,10.257533635799465,8,544970.5510553545
Mountain Ridge,2167.6050362024894,4,3,33,6669.708701850912,3,0,4,27.271438465804778,4,412055.34131290915
Sunset Heights,1032.512954440895,5,2,45,8255.679817263674,1,1,1,4.672476640032857,3,334505.99322357716
Maple Grove,3716.145929257791,5,3,77,8013.975939166723,1,1,9,6.177073888905363,9,651264.6917329535
River View,1273.8600303584008,5,1,3,8424.016575662696,2,1,4,15.297873629605267,10,462462.07033232006
River View,1957.9409127712447,3,4,29,6144.064531236999,3,0,7,3.376214732106238,4,431168.28400692064
Pinewood Estates,3850.1859011524148,4,1,94,3122.59614554812,0,1,7,6.683425356351096,4,637655.7747412643
Maple Grove,3851.8214408126682,2,4,74,7369.259787037509,3,1,2,28.369225084148418,9,624894.1710225382
Sunset Heights,2720.313664369858,2,2,98,6963.790280415765,3,1,1,29.318200173288727,2,367974.62769507786
Sunset Heights,2895.5116365093977,3,1,71,7938.025497592697,0,0,8,11.911520550582237,5,428484.0252735746
Pinewood Estates,2345.3365659349593,5,2,2,3359.0480484058826,3,1,8,27.775294609404135,4,547849.6741381977
Pinewood Estates,1879.6323150941935,1,2,13,3559.801599202314,0,0,7,16.799915594529523,9,197866.53862881786
Sunset Heights,1985.993636109748,3,4,59,9123.276137754627,0,1,8,8.822531510339244,5,374555.3879669704
Sunset Heights,3017.555368231115,3,4,76,7999.822387616567,3,0,3,21.36956291133736,9,514845.3604178395
Maple Grove,3257.1235883130403,4,4,44,9265.827909602584,3,0,2,20.10815239067086,9,513168.822910873
Pinewood Estates,3374.7371311775455,2,1,95,8069.722569311366,1,0,7,29.684634254153266,2,458744.88422189094
Maple Grove,3368.854428383662,3,3,33,6777.242447922415,1,1,8,8.686371334869214,9,633479.7577601792
Sunset Heights,1273.6183091460712,3,4,44,7233.061896222989,2,1,1,20.489725577190327,3,361162.3497876479
Mountain Ridge,2483.2609141077446,5,4,60,9113.02339152008,2,0,10,2.50868889585396,4,517995.99061670736
Mountain Ridge,1172.6762800499328,5,1,82,6630.454036095524,3,1,9,4.295735122204863,1,338019.0658498527
Sunset Heights,2648.5866469712064,1,4,15,7059.1305946270995,0,0,4,1.1136328735817047,1,297341.61717033724
Pinewood Estates,2324.591504120131,4,1,65,3251.8137280288047,2,0,4,29.98435975073052,1,247997.11107387638
Mountain Ridge,3663.1125482748994,1,2,39,5791.369760928821,3,1,3,24.265937217276853,9,632493.6909085023
Pinewood Estates,2052.745037656236,5,4,16,7731.176895664792,2,1,6,23.814967427272684,8,615870.7862518404
Mountain Ridge,1351.2010492828176,2,4,33,4167.541586530923,0,1,1,15.782056183357211,5,295100.6131326715
Pinewood Estates,1428.9750461585077,5,2,15,3618.0334441962796,3,0,6,9.701945404257758,5,453117.17830529733
Mountain Ridge,3284.531895152417,4,2,59,4510.614465795325,0,0,2,5.386664249417602,9,531403.022659417
Pinewood Estates,2854.654189948783,5,2,65,3932.0050239426673,3,1,9,9.255567426547445,3,600455.082979014
Maple Grove,1303.3680283683707,4,4,65,3719.3010962911667,2,0,2,11.903165435945034,3,280515.44395916996
Pinewood Estates,1252.3204183449923,4,3,89,5398.8067429446955,1,1,7,22.932992812428527,7,252536.92143172305
Maple Grove,3102.90739437736,4,3,12,9262.708111068274,2,0,1,16.65019187819142,9,612972.6152570612
Maple Grove,1218.2890190925805,4,3,55,6056.477173909747,2,1,7,3.247025170108998,6,312081.23185198044
Sunset Heights,3465.580177871069,4,4,30,3503.363046522584,1,1,5,1.5228412598084549,2,626803.3308076686
Maple Grove,3118.7266814694885,2,2,33,2615.7733550469925,1,0,8,3.9676332064878315,1,412575.4400940932
River View,1244.0463419256994,1,4,38,7569.249161103402,3,1,4,12.904462697224,2,312102.01054652216
Maple Grove,1254.5131422555758,3,2,66,5062.390115491103,3,1,10,28.06259459442153,1,318061.1441743456
Pinewood Estates,3959.9187355035265,1,4,7,8574.647572682874,0,0,7,19.484671955067427,10,508357.83766583184
Maple Grove,2122.812387268361,4,4,86,7276.086149126161,0,1,6,24.25295109638994,10,468017.3268871338
Pinewood Estates,2111.926441200673,2,2,77,8369.931604330948,2,0,5,14.524863240631907,9,352374.6746942294
Pinewood Estates,3438.3987017725076,5,3,54,4175.56831534759,1,1,4,11.488316412656241,10,748634.9687175292
River View,3841.7457321515762,2,2,26,7538.871379688465,0,0,7,4.143610808782059,8,452124.65628262475
Maple Grove,3958.003191468613,4,1,92,4112.495877549751,2,1,5,26.402057643399942,7,574282.1522308127
Maple Grove,3260.134555776825,2,1,52,9512.547835602334,1,1,5,23.71164084180918,3,451059.9384550727
Mountain Ridge,2128.7787565927474,2,2,38,7090.994252266995,3,1,1,5.875424830334028,8,431725.0970724453
Mountain Ridge,1250.5021500960063,4,4,64,4596.094401402737,2,1,2,15.855556352411554,2,317404.5657906662
Sunset Heights,3331.44074778231,2,1,16,4156.094898338181,3,0,5,15.133869429716102,2,518562.69393122615
Pinewood Estates,2675.212749207415,3,1,29,3527.412680573148,0,0,3,19.12765502790933,10,400318.1639082401
River View,2272.666027740929,3,4,52,7557.127671149822,0,0,2,28.439419925746574,3,289554.3528105001
Mountain Ridge,3719.063155284208,2,4,12,3749.7249039834187,1,0,4,17.81337181111191,7,571962.9150149066
Maple Grove,1333.592446918454,5,3,20,6762.4261274199125,2,0,4,16.66630073657994,1,450457.4319468124
Sunset Heights,2477.8753128725775,4,4,18,4117.080215402859,3,0,4,2.4593650551052546,8,556876.4205493318
River View,1034.0609343022572,3,2,52,7295.7515583509485,1,0,4,2.8243168045226943,7,272105.97665932245
Maple Grove,2405.981925982379,5,2,18,8519.517828324315,0,1,3,6.433056948476878,4,571836.233819115
Maple Grove,1168.909827045512,2,3,56,8224.201945157225,0,1,7,1.9416523790607,5,255133.3192478986
Pinewood Estates,1356.4537488042158,5,1,24,8086.810647446254,2,1,9,22.55723397153036,10,490525.87119788415
Pinewood Estates,1352.5787403313147,1,1,85,3501.7792455380168,3,1,5,21.97657881582493,1,273150.6257690011
Mountain Ridge,2947.6309063481904,3,4,30,2707.0795758761496,2,0,4,4.945630798517645,4,478202.2967539582
Mountain Ridge,3238.13463779627,2,2,80,7591.590627899085,3,0,2,25.246288123063145,1,378425.75566687476
Maple Grove,2750.106295291479,4,1,54,4946.777710354811,3,0,2,5.488795010537247,1,423781.7533660299
Maple Grove,3886.5176454236257,2,3,22,5458.769811226779,2,1,5,9.734092022923406,10,547597.1237594066
Mountain Ridge,2124.6117385711123,4,3,31,2249.1927423471284,1,0,7,8.220330075679584,1,420993.93970776553
Mountain Ridge,1857.1362588455822,2,2,61,4076.6115942003935,2,1,10,11.796905858618386,7,333487.78632376884
Maple Grove,3605.797384568381,5,3,73,2269.4112309957122,2,0,10,8.385249210808894,7,632590.6883529847
River View,1670.7875155583579,5,3,9,9033.486180809981,0,0,9,15.17957686671511,4,323479.1325423068
Maple Grove,3889.6676183218337,5,2,99,3947.173465748244,0,0,7,12.814828559285877,2,577777.2012514863
River View,1036.463424069449,1,4,71,6458.697356584064,2,0,5,29.61051523260047,3,237098.34791958588
River View,3909.636480122917,4,4,53,2311.8345652890434,2,1,10,2.621864153718544,8,684388.3359149017
Maple Grove,1129.4797358517283,5,3,51,7334.779130445265,0,1,10,5.123259915233197,8,421650.8674749014
Sunset Heights,3673.429341094213,1,4,19,4584.218766032751,3,0,10,2.531950923349472,6,587841.9039814079
Mountain Ridge,2583.1033272588993,4,4,31,9183.353495661326,2,1,6,19.149394654488898,10,646463.1884236899
Pinewood Estates,3978.894388357901,2,3,13,9104.945511472288,1,0,3,2.5807690449978677,9,539424.9414533452
Maple Grove,1221.3896942061965,1,4,49,4602.324946893982,1,0,5,25.256752383907575,9,240431.03071747595
River View,2661.5628532039623,3,3,27,9207.687165523743,1,0,8,15.846220289775907,4,403771.20033856056
Maple Grove,3907.9076068572967,1,1,52,9969.261387990231,2,0,1,16.283221112864478,1,437459.0805926072
Mountain Ridge,2569.2935325104463,1,2,23,8603.325312991585,3,1,1,17.28624072365363,1,435241.21700551535
River View,2888.1959144057873,4,2,78,8758.970782041832,3,0,7,5.953597482880111,10,494073.8217275414
Pinewood Estates,3087.2460669538514,2,4,21,3992.0698888727193,0,0,5,6.733018790320139,5,457351.67202305875
Pinewood Estates,2363.62319430332,3,4,29,6613.61919086205,2,1,5,10.245702363317136,2,545995.6784447383
Pinewood Estates,2882.6742402521904,5,4,62,2538.047311738943,3,0,1,18.211396058833692,6,630218.4744662216
Sunset Heights,2752.9429357693007,5,2,3,2759.343494573358,2,1,9,7.093415502266221,7,618835.1330314563
River View,3703.474031472967,1,1,76,9991.140896266324,0,0,1,4.373620086864576,1,379700.2362156629
River View,1136.3391410243737,4,1,58,4613.113995407288,0,0,5,29.133389706134533,6,195634.91143739232
Sunset Heights,1842.889568776691,4,2,86,7985.471296390771,0,0,10,1.6374726294790645,8,387017.4223143536
River View,3851.234452229676,5,1,7,8453.320424214533,1,0,9,24.278224754744627,5,575146.0098685648
Sunset Heights,3670.791351672749,3,2,81,8864.186168057833,2,0,4,23.85301933767564,7,417197.14183097
Maple Grove,2366.970258357139,2,1,11,9981.026379217252,0,0,8,9.619209301507784,10,385574.0741239369
Mountain Ridge,2860.39779340461,3,3,30,3931.971882054943,2,1,6,4.933171864212088,6,509931.34051731974
Pinewood Estates,1832.143548943398,2,3,77,2322.806614877598,1,0,3,5.223230754457279,4,241885.63428461814
Sunset Heights,1564.3634791712839,5,2,33,5289.532143956688,1,1,4,21.22551689987858,7,324125.9761407263
Sunset Heights,2391.0952148199467,2,1,81,3040.6453586315756,0,1,2,19.641391141499035,10,336129.6497115569
Sunset Heights,2060.0566840781585,4,4,97,2179.407113296441,0,0,1,23.699624553290217,9,325716.0826147646
Maple Grove,2750.9683355526163,1,1,74,4883.414617131889,3,1,8,28.186953999574037,10,289381.53049258003
Sunset Heights,1233.2039108949546,1,3,75,8269.90600860189,2,0,1,21.065893534731167,10,223419.80987991294
Mountain Ridge,3923.1844229984995,5,3,48,6529.445529800567,0,1,1,5.51969455999186,7,645056.400541533
Mountain Ridge,3958.6322334388087,4,1,78,4502.223913682832,3,0,4,8.05983588619691,5,568148.9406213046
Pinewood Estates,3094.4851420592354,3,1,56,7234.736043941758,2,1,10,25.423618195320323,7,450603.3273219524
Maple Grove,2608.2890990323613,4,4,94,3856.1454424704857,0,1,10,7.0698761991920485,3,586926.86976971
Mountain Ridge,1928.5828488589832,1,4,92,2115.05156857668,3,0,6,3.103147191679961,2,372941.8655504358
River View,3441.385059120846,1,1,25,8114.827091491419,3,1,9,21.395121567225264,5,464490.5620148585
River View,3054.193517661638,4,1,17,6989.944678912073,2,0,1,12.673264309214119,4,475789.47021114983
River View,1487.850818034674,4,1,95,8098.42099600768,3,0,7,27.681161523831204,5,355274.5763297739
Sunset Heights,3732.781553481527,1,1,85,2311.5041335013248,2,0,10,19.857397061716185,8,484356.8026381952
Sunset Heights,3467.611728769507,3,2,37,8696.957022645218,2,0,5,3.6221503559581616,4,457945.6728508118
River View,3849.399739875772,5,1,80,6956.209600290426,2,0,8,28.48784045035616,9,508641.0069655917
Pinewood Estates,3177.15852516508,5,4,86,6507.162805701121,1,1,7,8.49816064556713,7,581928.620085347
Pinewood Estates,2840.2455878073697,4,3,87,6996.912384916252,3,1,4,10.779162221782286,10,557380.6192673653
Sunset Heights,2254.7291088718566,5,2,49,8915.465974946914,2,1,4,12.66555199682272,7,476653.73994472745
